cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
80,16,1536,6144,ck,8,0,22.471,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,13.44,426.53,0.0
80,32,1536,6144,ck,8,0,22.5136,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,26.83,432.28,0.0
80,64,1536,6144,ck,18,0,27.8937,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,43.31,359.47,0.0
80,128,1536,6144,ck,18,0,28.0075,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,86.26,379.07,0.0
80,256,1536,6144,ck,3,0,43.0382,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,112.27,274.09,0.0
80,512,1536,6144,ck,3,0,70.4506,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,137.17,200.93,0.0
80,1024,1536,6144,ck,0,0,107.2364,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,180.23,176.01,0.0
80,2048,1536,6144,ck,0,0,171.7944,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,225.01,164.8,0.0
80,4096,1536,6144,ck,0,0,263.7994,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,293.06,178.87,0.0
80,8192,1536,6144,ck,0,0,510.4809,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,302.89,166.38,0.0
80,16384,1536,6144,ck,0,0,988.8126,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,312.74,162.25,0.0
80,20480,1536,6144,ck,0,0,1224.2076,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,315.75,161.89,0.0
80,16,2304,6144,ck,8,0,22.3943,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.23,639.8,0.0
80,32,2304,6144,ck,8,0,22.5113,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,40.25,644.11,0.0
80,64,2304,6144,ck,18,0,27.9981,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,64.72,530.18,0.0
80,128,2304,6144,ck,18,0,28.3024,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,128.04,548.79,0.0
80,256,2304,6144,ck,3,0,51.2473,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,141.43,329.94,0.0
80,512,2304,6144,ck,2,0,77.7605,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,186.41,252.84,0.0
80,1024,2304,6144,ck,0,0,113.1865,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,256.14,222.34,0.0
80,2048,2304,6144,ck,0,0,213.8645,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,271.12,169.15,0.0
80,4096,2304,6144,ck,0,0,401.5296,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,288.81,144.94,0.0
80,8192,2304,6144,ck,0,0,742.4538,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,312.38,137.7,0.0
80,16384,2304,6144,ck,0,0,1467.2863,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,316.13,129.71,0.0
