M,N,K
16,2304,6144
16,6144,768
16,1536,6144
16,3072,6144
16,6144,1536
16,19360,6144
32,2304,6144
32,6144,768
32,1536,6144
32,3072,6144
32,6144,1536
32,19360,6144
64,2304,6144
64,6144,768
64,1536,6144
64,3072,6144
64,6144,1536
64,19360,6144
128,2304,6144
128,6144,768
128,1536,6144
128,3072,6144
128,6144,1536
128,19360,6144
256,2304,6144
256,6144,768
256,1536,6144
256,3072,6144
256,6144,1536
256,19360,6144
512,2304,6144
512,6144,768
512,1536,6144
512,3072,6144
512,6144,1536
512,19360,6144
1024,2304,6144
1024,6144,768
1024,1536,6144
1024,3072,6144
1024,6144,1536
1024,19360,6144
2048,2304,6144
2048,6144,768
2048,1536,6144
2048,3072,6144
2048,6144,1536
2048,19360,6144
4096,2304,6144
4096,6144,768
4096,1536,6144
4096,3072,6144
4096,6144,1536
4096,19360,6144
8192,2304,6144
8192,6144,768
8192,1536,6144
8192,3072,6144
8192,6144,1536
8192,19360,6144
16384,2304,6144
16384,6144,768
16384,1536,6144
16384,3072,6144
16384,6144,1536
16384,19360,6144
20480,2304,6144
20480,6144,768
20480,1536,6144
20480,3072,6144
20480,6144,1536
20480,19360,6144
